Configuration,Trees,Features/Split,Max Depth,Training Time (s),CV Accuracy,Diversity Score,Variance Score,Memory (MB)
A,100,5,10,0.105,0.903,0.825,0.250,19.5
B,50,10,15,0.060,0.907,0.500,0.396,312.5
C,200,3,8,0.135,0.900,0.895,0.185,9.7
